queue,servers,svc_min,queueLen,analytical_wq_min,model_pred_min
Khám bệnh,3,10.0,0,0.00,12.32
Khám bệnh,3,10.0,1,0.00,12.32
Khám bệnh,3,10.0,2,0.00,15.51
Khám bệnh,3,10.0,3,3.33,20.19
Khám bệnh,3,10.0,4,6.67,22.74
Khám bệnh,3,10.0,5,10.00,23.46
Khám bệnh,3,10.0,6,13.33,24.12
Khám bệnh,3,10.0,7,16.67,27.45
Khám bệnh,3,10.0,8,20.00,27.05
Khám bệnh,3,10.0,9,23.33,29.30
Khám bệnh,3,10.0,10,26.67,27.48
Khám bệnh,3,10.0,11,30.00,25.04
Khám bệnh,3,10.0,12,33.33,25.96
Khám bệnh,3,10.0,13,36.67,25.24
Khám bệnh,3,10.0,14,40.00,24.97
Khám bệnh,3,10.0,15,43.33,25.70
Khám bệnh,3,10.0,16,46.67,25.28
Khám bệnh,3,10.0,17,50.00,24.09
Khám bệnh,3,10.0,18,53.33,21.38
Khám bệnh,3,10.0,19,56.67,26.72
Khám bệnh,3,10.0,20,60.00,31.47
Khám bệnh,3,10.0,21,63.33,32.11
Khám bệnh,3,10.0,22,66.67,35.21
Khám bệnh,3,10.0,23,70.00,34.22
Khám bệnh,3,10.0,24,73.33,36.08
Khám bệnh,3,10.0,25,76.67,34.34
Khám bệnh,3,10.0,26,80.00,38.79
Khám bệnh,3,10.0,27,83.33,39.12
Khám bệnh,3,10.0,28,86.67,39.47
Khám bệnh,3,10.0,29,90.00,45.37
Khám bệnh,3,10.0,30,93.33,50.98
Thanh toán viện phí,2,4.0,0,0.00,6.35
Thanh toán viện phí,2,4.0,1,0.00,6.35
Thanh toán viện phí,2,4.0,2,2.00,8.76
Thanh toán viện phí,2,4.0,3,4.00,10.26
Thanh toán viện phí,2,4.0,4,6.00,11.30
Thanh toán viện phí,2,4.0,5,8.00,13.47
Thanh toán viện phí,2,4.0,6,10.00,13.53
Thanh toán viện phí,2,4.0,7,12.00,16.49
Thanh toán viện phí,2,4.0,8,14.00,16.08
Thanh toán viện phí,2,4.0,9,16.00,19.91
Thanh toán viện phí,2,4.0,10,18.00,18.34
Thanh toán viện phí,2,4.0,11,20.00,15.87
Thanh toán viện phí,2,4.0,12,22.00,17.89
Thanh toán viện phí,2,4.0,13,24.00,18.13
Thanh toán viện phí,2,4.0,14,26.00,18.86
Thanh toán viện phí,2,4.0,15,28.00,20.33
Thanh toán viện phí,2,4.0,16,30.00,19.85
Thanh toán viện phí,2,4.0,17,32.00,18.67
Thanh toán viện phí,2,4.0,18,34.00,16.99
Thanh toán viện phí,2,4.0,19,36.00,22.13
Thanh toán viện phí,2,4.0,20,38.00,27.12
Thanh toán viện phí,2,4.0,21,40.00,27.78
Thanh toán viện phí,2,4.0,22,42.00,31.60
Thanh toán viện phí,2,4.0,23,44.00,30.56
Thanh toán viện phí,2,4.0,24,46.00,32.50
Thanh toán viện phí,2,4.0,25,48.00,30.86
Thanh toán viện phí,2,4.0,26,50.00,35.12
Thanh toán viện phí,2,4.0,27,52.00,35.61
Thanh toán viện phí,2,4.0,28,54.00,36.12
Thanh toán viện phí,2,4.0,29,56.00,42.07
Thanh toán viện phí,2,4.0,30,58.00,48.02
Phát thuốc BHYT,2,5.0,0,0.00,6.76
Phát thuốc BHYT,2,5.0,1,0.00,6.76
Phát thuốc BHYT,2,5.0,2,2.50,9.54
Phát thuốc BHYT,2,5.0,3,5.00,10.91
Phát thuốc BHYT,2,5.0,4,7.50,11.27
Phát thuốc BHYT,2,5.0,5,10.00,13.52
Phát thuốc BHYT,2,5.0,6,12.50,16.43
Phát thuốc BHYT,2,5.0,7,15.00,18.48
Phát thuốc BHYT,2,5.0,8,17.50,19.24
Phát thuốc BHYT,2,5.0,9,20.00,20.95
Phát thuốc BHYT,2,5.0,10,22.50,18.95
Phát thuốc BHYT,2,5.0,11,25.00,16.25
Phát thuốc BHYT,2,5.0,12,27.50,18.13
Phát thuốc BHYT,2,5.0,13,30.00,18.26
Phát thuốc BHYT,2,5.0,14,32.50,19.01
Phát thuốc BHYT,2,5.0,15,35.00,20.54
Phát thuốc BHYT,2,5.0,16,37.50,20.17
Phát thuốc BHYT,2,5.0,17,40.00,19.06
Phát thuốc BHYT,2,5.0,18,42.50,17.43
Phát thuốc BHYT,2,5.0,19,45.00,22.50
Phát thuốc BHYT,2,5.0,20,47.50,27.34
Phát thuốc BHYT,2,5.0,21,50.00,28.03
Phát thuốc BHYT,2,5.0,22,52.50,32.21
Phát thuốc BHYT,2,5.0,23,55.00,31.17
Phát thuốc BHYT,2,5.0,24,57.50,33.11
Phát thuốc BHYT,2,5.0,25,60.00,31.41
Phát thuốc BHYT,2,5.0,26,62.50,35.61
Phát thuốc BHYT,2,5.0,27,65.00,36.10
Phát thuốc BHYT,2,5.0,28,67.50,36.61
Phát thuốc BHYT,2,5.0,29,70.00,42.57
